id,nome_fantasia,categoria,bairro,endereco,faturamento_mensal_estimado,possui_google,possui_instagram,possui_whatsapp,avaliacao_google,num_avaliacoes_google,n_funcionarios,anos_atividade
7,MARCENARIA ARTE MADEIRA EXPRESS,Construção e Reforma,Ouro Verde,"Rua Marciano Santos, 565","R$ 40.743,49", Sim,S,não,3.4,500,5,15.0
211,Loja Gamer Level Up II,Tecnologia e Informática,Portal de Fátima,"Rua Hermogênio Veloso, 543",16892.38, Sim,N,s,4.1,406,1,0.8
239,pastelaria central jr.,ALIMENTAÇÃO,Centro,"Rua Hermogênio Veloso, 2346",30185.86,Sim,Não,SIM,4.8,547,,8.9
28,Lavanderia Limpa Tudo,Serviços Gerais,Independência,"Av. Minas Gerais, 1472",32058.43,N,Sim,S,,,2,9.9
49,CONTABILIDADE PRÁTICA JR.,SERVIÇOS GERAIS,Paraíso,"Av. Minas Gerais, 2349","R$ 11.083,83",S,Nao,s,4.3,383,2,18.0
39,marmitaria dona cida express,Alimentação,Novo Horizonte,"Rua Hermogênio Veloso, 547",,Nao,s,SIM,,,5,15.6
71,OFICINA DO PAULINHO JR.,Automotivo, Santa Helena ,"Av. das Palmeiras, 56",19743.09,SIM,n,SIM,4.3,591,2,18.9
190,LAVA JATO ESTRELA PRIME,Automotivo, Miranda ,"Rua Hermogênio Veloso, 1612",11567.32,s,Não, Sim,3.7,705,3,15.2
164,Salão Dona Flor II,Beleza e Estética,Centro,"Av. das Palmeiras, 194",7353.18,S,1,SIM,4.4,305,6,20.5
191,laboratório bioanálise jr.,Saúde,Bosque,"Rua Rui Barbosa, 221",,n,S,,,,2,8.9
114,Salão Beleza Pura II,Beleza e Estética, Miranda ,"Av. Minas Gerais, 1670","R$ 26.642,62",S, Sim,1,4.3,203,6,12.6
78,Lava Jato Estrela Express,Automotivo,Amorim,"Av. Senador Melo Viana, 695",24388.94,não,N,S,,,4,3.8
204,Marcenaria Arte Madeira Prime,Construção e Reforma,Amorim,"Av. Coronel Teodolino Pereira de Araújo, 460","R$ 3.386,08",n,N,1,,,,17.4
106,MATERIAL DE CONSTRUÇÃO ALVORADA PRIME,Construção e Reforma,Vieno,"Rua Pedro Nasciutti, 328",28784.12,Não,Nao,S,,,10,10.8
210,CONFECÇÕES AMORIM JR.,Vestuário,Jóquei Clube,"Rua Marciano Santos, 223",28408.12,N,S,sim ,,,10,25.2
196,confecções amorim ii,VESTUÁRIO,Jóquei Clube,"Rua Florestina Quintino, 215","R$ 10.259,95",0,SIM,NÃO,,,5,10.7
8,Lan House Conecta Prime,Tecnologia e Informática,Amorim,"Rua Marciano Santos, 992",7878.72,Sim,NÃO,s,4.0,256,2,2.1
187,Curso Preparatório Aprova II,Educação,Independência,"Rua Pedro Nasciutti, 213",3286.72,N, Sim,1,,,2,11.1
230,Laboratório BioAnálise Express,SAÚDE,Miranda,"Rua Marciano Santos, 1694",8628.24,não,,S,,,10,26.2
217,FUNILARIA IDEAL,AUTOMOTIVO,Centro,"Rua Rui Barbosa, 1646","R$ 31.028,69",Nao,nao,0,,,2,4.0
48,Lavanderia Limpa Tudo Prime,Serviços Gerais,Centro,"Rua Rui Barbosa, 1968",10507.81,SIM,1,Nao,4.9,305,2,20.4
31,sapataria central express,Vestuário,Bosque,"Rua Marciano Santos, 1404",15148.14,0,sim ,sim ,,,5,6.8
185,reforço escolar aprender+ ii,Educação, Santa Helena ,"Av. Senador Melo Viana, 73","R$ 15.329,70",não,Sim,SIM,,,6,16.9
137,moda mineira,Vestuário,Bosque,"Av. das Palmeiras, 1360","R$ 29.442,89",Sim,N,Sim,4.5,674,,19.0
143,BAZAR CENTRAL II,Varejo Diverso,Miranda,"Av. Senador Melo Viana, 357",,Sim,Nao,s,3.9,705,10,22.8
18,Brechó Retrô,VESTUÁRIO,Independência,"Av. Senador Melo Viana, 206","R$ 9.401,58", Sim,N,s,3.4,270,6,12.5
82,Lan House Conecta Prime,Tecnologia e Informática,Rosário,"Av. das Palmeiras, 1268",7107.82,Não,SIM,0,,,8,13.8
41,Odonto Sorriso Express,Saúde,Portal de Fátima,"Rua Hermogênio Veloso, 1463","R$ 18.407,38",,n, Sim,,,6,24.4
145,SALÃO DONA FLOR EXPRESS,Beleza e Estética,Miranda,"Av. das Palmeiras, 1520",17287.25,0,sim ,S,,,,9.3
237,Assistência Notebook Já II,TECNOLOGIA E INFORMÁTICA, Novo Horizonte ,"Av. Coronel Teodolino Pereira de Araújo, 1228",,s,NÃO,sim ,4.6,90,10,13.5
38,Utilidades Lar Doce Lar Jr.,Varejo Diverso,Paraíso,"Rua Florestina Quintino, 1083","R$ 13.091,50",1,n,1,3.9,781,,23.2
198,Brechó Retrô Jr.,VESTUÁRIO,Miranda,"Rua Pedro Nasciutti, 665","R$ 16.180,13",N,S,s,,,2,18.7
111,Escola de Música Ritmo II,Educação,Centro,"Rua Florestina Quintino, 2315",22058.47,n,SIM,s,,,3,18.7
35,oficina do paulinho ii,Automotivo,Goiás,"Rua Hermogênio Veloso, 341",19467.7,sim ,Nao, Sim,,,2,15.5
135,FUNILARIA IDEAL II,Automotivo, Rosário ,"Av. Coronel Teodolino Pereira de Araújo, 96","R$ 29.478,39",N,S,S,,,5,5.1
181,Loja Gamer Level Up Express,Tecnologia e Informática,Portal de Fátima,"Rua Marciano Santos, 1274",19245.26,,N,s,,,,17.9
177,FISIO + SAÚDE JR.,SAÚDE,Centro,"Rua Florestina Quintino, 536",22289.64,s,Não,Sim,4.6,461,8,11.8
174,salão beleza pura jr.,Beleza e Estética,Portal de Fátima,"Av. Coronel Teodolino Pereira de Araújo, 513","R$ 21.530,47",Não,1,SIM,,,2,11.9
236,utilidades lar doce lar express,Varejo Diverso,Miranda,"Rua Rui Barbosa, 510",16125.37,n,sim ,sim ,,,4,9.3
221,CHAVEIRO 24H II,SERVIÇOS GERAIS, Centro ,"Av. Senador Melo Viana, 562",28673.69,s,Não,SIM,4.9,25,2,4.6
52,Empório Araguari II,Alimentação,Centro,"Av. Coronel Teodolino Pereira de Araújo, 2491",,não,SIM,S,,,5,22.5
205,Sabor Mineiro,Alimentação,Centro,"Av. Minas Gerais, 767",14334.23, Sim,Sim,SIM,3.9,674,2,26.1
176,Lan House Conecta Jr.,Tecnologia e Informática,Bosque,"Av. Minas Gerais, 97",3103.85,SIM,,1,4.4,155,10,23.9
240,Livraria Saber,Varejo Diverso,Independência,"Av. Minas Gerais, 2323",5642.89,SIM,não,sim ,4.3,399,8,18.6
149,Lava Jato Estrela Express,Automotivo,Independência,"Rua Florestina Quintino, 964",4073.43,1,não, Sim,4.5,578,5,20.7
36,CLÍNICA VIDA PLENA,Saúde,Ouro Verde,"Av. Senador Melo Viana, 1698",33676.02,,,0,,,10,2.7
168,Assistência Técnica Cell+ Express,SERVIÇOS GERAIS, Novo Horizonte ,"Rua Pedro Nasciutti, 976",11151.73,sim ,sim ,SIM,4.7,198,2,11.0
53,AUTO CENTER ARAGUARI II,Automotivo,Novo Horizonte,"Rua Rui Barbosa, 1901",20699.13,S,Sim,s,4.5,490,2,14.8
34,INFOTECH ARAGUARI II,Tecnologia e Informática,Goiás,"Rua Hermogênio Veloso, 1267",3214.45,n,nao,S,,,3,2.2
139,LOJA ESTILO JOVEM,Vestuário,Centro,"Rua Rui Barbosa, 890",5427.0,Nao, Sim, Sim,,,1,27.2
115,Contabilidade Prática II,Serviços Gerais,Jóquei Clube,"Av. das Palmeiras, 1545","R$ 13.881,83",S,SIM,S,4.9,803,,5.4
85,Utilidades Lar Doce Lar Jr.,Varejo Diverso,São Sebastião,"Rua Marciano Santos, 1232",,, Sim,1,,,,8.2
155,PSICÓLOGA ANA RIBEIRO,Saúde,Santa Helena,"Rua Marciano Santos, 1994",10171.56,Nao,0,sim ,,,2,11.4
233,Brechó Retrô,Vestuário,Rosário,"Rua Rui Barbosa, 2488",19477.33,Não,s,n,,,2,22.0
80,Escola de Música Ritmo Express,Educação,Novo Horizonte,"Av. Minas Gerais, 558",14666.5,nao,não,SIM,,,6,26.2
110,Odonto Sorriso,SAÚDE,Ouro Verde,"Av. das Palmeiras, 2264","R$ 47.310,94",não,1,s,,,2,14.3
40,elétrica & hidráulica jm,Construção e Reforma,Independência,"Rua Hermogênio Veloso, 1048",33895.48,não,n,SIM,,,3,14.5
147,Loja Estilo Jovem Jr.,Vestuário,São Sebastião,"Av. Coronel Teodolino Pereira de Araújo, 2356",22566.13,0,S,sim ,,,3,14.0
62,Marcenaria Arte Madeira Jr.,CONSTRUÇÃO E REFORMA,Centro,"Rua Hermogênio Veloso, 1950",1500,1,S, Sim,4.6,674,2,25.9
107,LOJA GAMER LEVEL UP EXPRESS,Tecnologia e Informática,Novo Horizonte,"Av. Coronel Teodolino Pereira de Araújo, 488",502767.45,,SIM,SIM,,,4,17.5
